unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783456852,1259,5,viewer,Syncing,13,5,6,0,21.9,63
1783456882,1306,0,master,Healthy,100,5,6,0,4.5,87
1783456882,1306,1,master,Syncing,5,5,6,0,6.3,68
1783456886,1306,2,master,Syncing,5,6,6,0,3.5,64
1783456886,1306,3,viewer,Paused,0,5,6,0,1.1,60
1783456886,1306,4,viewer,Syncing,13,6,6,0,3.9,66
1783456886,1306,5,viewer,Syncing,13,6,6,0,10.8,71
1783456916,1340,0,master,Healthy,100,6,6,0,7.1,88
1783456940,1340,2,master,Syncing,5,4,6,0,4.3,82
1783456940,1340,3,viewer,Paused,0,3,6,0,0.9,60
1783456944,1340,4,viewer,Syncing,13,5,6,0,35.2,64
1783456944,1340,5,viewer,Syncing,16,5,6,0,40.6,68
1783456975,1398,0,master,Healthy,100,5,6,0,6.2,89
1783456981,1398,1,master,Syncing,6,6,6,0,2.4,62
1783456981,1398,2,master,Syncing,5,5,6,0,6.8,67
1783456981,1398,3,viewer,Paused,0,6,6,0,2.0,60
1783456981,1398,4,viewer,Syncing,13,6,6,0,12.8,72
1783456981,1398,5,viewer,Syncing,16,6,6,0,8.5,65
1783457012,1435,0,master,Healthy,100,6,6,0,12.4,84
1783457012,1435,1,master,Syncing,6,6,6,0,8.3,70
1783457012,1435,2,master,Syncing,6,6,6,0,6.3,70
1783457012,1435,3,viewer,Paused,0,6,6,0,3.4,61
1783457012,1435,4,viewer,Syncing,18,6,6,0,10.1,71
1783457058,1481,0,master,Healthy,100,6,6,0,10.1,85
1783457059,1481,1,master,Syncing,6,6,6,0,7.6,71
1783457074,1481,3,viewer,Paused,0,6,6,0,1.9,62
1783457074,1481,4,viewer,Syncing,18,6,6,0,8.2,63
1783457074,1481,5,viewer,Syncing,17,6,6,0,4.4,71
1783457104,1527,0,master,Healthy,100,5,6,0,29.9,85
1783457134,1527,3,viewer,Paused,0,4,6,0,1.3,62
1783457134,1527,4,viewer,Syncing,18,4,6,0,6.3,62
1783457134,1527,5,viewer,Syncing,17,4,6,0,4.2,66
1783457164,1588,0,master,Healthy,100,6,6,0,23.7,86
1783457170,1588,1,master,Syncing,7,6,6,0,15.8,67
1783457171,1588,2,master,Syncing,7,6,6,0,3.5,68
1783457171,1588,3,viewer,Paused,0,6,6,0,2.4,62
1783457171,1588,4,viewer,Syncing,18,6,6,0,5.9,65
1783457171,1588,5,viewer,Syncing,17,6,6,0,5.9,68
1783457203,1624,0,master,Healthy,100,6,6,0,5.8,86
1783457203,1624,1,master,Syncing,7,6,6,0,6.7,67
1783457204,1624,2,master,Syncing,7,6,6,0,7.6,66
1783457204,1624,3,viewer,Paused,0,6,6,0,1.3,62
1783457204,1624,4,viewer,Syncing,19,6,6,0,9.6,68
1783457204,1624,5,viewer,Syncing,18,6,6,0,4.4,63
1783457234,1657,0,master,Healthy,100,6,6,0,34.2,87
1783457236,1657,1,master,Syncing,7,6,6,0,28.0,78
1783457236,1657,2,master,Syncing,7,6,6,0,5.6,71
1783457236,1657,3,viewer,Paused,0,6,6,0,0.9,62
1783457236,1657,4,viewer,Syncing,19,6,6,0,2.7,69
1783457236,1657,5,viewer,Syncing,18,6,6,0,7.3,71
1783457266,1689,0,master,Healthy,100,6,6,0,35.4,87
1783457266,1689,1,master,Syncing,7,6,6,0,26.9,72
1783457266,1689,2,master,Syncing,8,6,6,0,7.6,74
1783457266,1689,3,viewer,Paused,0,6,6,0,1.3,62
1783457266,1689,4,viewer,Syncing,19,6,6,0,8.4,73
1783457311,1734,0,master,Healthy,100,6,6,0,4.0,87
1783457326,1734,2,master,Syncing,8,5,6,0,4.1,74
1783457326,1734,3,viewer,Paused,0,5,6,0,0.9,62
1783457326,1734,4,viewer,Syncing,19,5,6,0,5.3,67
1783457326,1734,5,viewer,Syncing,18,5,6,0,3.5,68
1783457357,1780,0,master,Healthy,100,5,6,0,4.1,87
1783457372,1780,2,master,Syncing,8,5,6,0,4.9,71
1783457372,1780,3,viewer,Paused,0,5,6,0,1.4,62
1783457372,1780,4,viewer,Syncing,19,5,6,0,3.2,70
1783457372,1780,5,viewer,Syncing,19,5,6,0,4.8,66
1783457408,1826,0,master,Healthy,100,6,6,0,7.8,87
1783457409,1826,1,master,Syncing,20,6,6,0,2.5,73
1783457409,1826,2,master,Syncing,8,6,6,0,4.7,74
1783457409,1826,3,viewer,Paused,0,6,6,0,1.5,62
1783457409,1826,4,viewer,Syncing,19,6,6,0,4.9,73
1783457409,1826,5,viewer,Syncing,19,6,6,0,4.9,69
1783457439,1862,0,master,Healthy,100,6,6,0,6.4,87
1783457439,1862,1,master,Syncing,20,6,6,0,4.2,69
1783457439,1862,2,master,Syncing,8,6,6,0,6.6,72
1783457439,1862,3,viewer,Paused,0,6,6,0,1.3,62
1783457439,1862,4,viewer,Syncing,19,6,6,0,4.2,73
1783457439,1862,5,viewer,Syncing,19,6,6,0,6.5,71
1783457469,1893,0,master,Healthy,100,6,6,0,4.5,87
1783457484,1893,2,master,Syncing,9,5,6,0,6.1,70
